libedit 20140213_3.1-1
libevdev 1.2.1-1
libevent 2.0.21-3
libexif 0.6.21-2
libffi 3.0.13-4
libfontenc 1.1.2-1
libgcrypt 1.6.1-1
libgksu 2.0.12-6
libglade 2.6.4-5
libgnome-keyring 3.12.0-1
libgnomecanvas 2.30.3-2
libgpg-error 1.13-1
libgssglue 0.4-2
libgtop 2.30.0-1
libgusb 0.1.6-1
libice 1.0.8-2
libid3tag 0.15.1b-8
libidn 1.28-2
libiec61883 1.2.0-4
libimobiledevice 1.1.6-1
libjpeg-turbo 1.3.1-1
libksba 1.3.0-1
libldap 2.4.39-1
libltdl 2.4.2-13
libmbim 1.8.0-1
libmm-glib 1.2.0-3
libmng 2.0.2-3
libnl 3.2.24-1
libnotify 0.7.6-1
libogg 1.3.1-2
libpcap 1.5.3-1
libpciaccess 0.13.2-2
libpipeline 1.3.0-1
libplist 1.11-1
libpng 1.6.10-1
libproxy 0.4.11-2
libpulse 5.0-1
libqmi 1.8.0-1
libraw1394 2.1.0-2
libreoffice-installer 1.2.10-1
librpcsecgss 0.19-8
librsvg 1:2.40.2-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.1.1-1
libsecret 0.18-1
libshout 1:2.3.1-2
libsigc++ 2.3.1-1
libsm 1.2.2-2
libsndfile 1.0.25-3
libsoup 2.46.0-1
libssh2 1.4.3-2
libsystemd 212-3
libtaginfo 0.2.1-1
libtasn1 3.6-1
libthai 0.1.19-1
libtheora 1.1.1-3
libtiff 4.0.3-4
libtimezonemap 0.4.0-1
libtirpc 0.2.4-1
libunique 1.1.6-6
libunistring 0.9.3-6
libusb 1.0.18-1
libusbmuxd 1.0.9-1
libutil-linux 2.24.2-1
libvdpau 0.7-1
libvorbis 1.3.4-1
libvpx 1.3.0-1
libwebp 0.4.0-1
libwnck 2.30.7-1
libx11 1.6.2-2
libx86emu 1.1.21.6-1
libxau 1.0.8-2
libxcb 1.10-2
libxcomposite 0.4.4-1
libxcursor 1.1.14-1
libxdamage 1.1.4-1
libxdmcp 1.1.1-1
libxext 1.3.2-1
libxfce4ui 4.11.1-1
libxfce4util 4.11.0-1
libxfixes 5.0.1-1
libxfont 1.4.7-3
libxft 2.3.1-2
libxi 1.7.2-1
libxinerama 1.1.3-2
libxkbcommon 0.4.2-1
libxkbfile 1.0.8-1
libxklavier 5.3-1
libxml2 2.9.1-5
libxmu 1.1.2-1
libxrandr 1.4.2-2
libxrender 0.9.8-1
libxres 1.0.7-1
libxshmfence 1.1-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.4-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.3-1
libzeitgeist 0.3.18-4
licenses 20130203-1
linux-api-headers 3.14.1-1
linux-firmware 20140316.dec41bc-1
linux312 3.12.20-1
linux312-ndiswrapper 1.59-7
llvm-libs 3.4.1-2
locale-info 2.19-1
logrotate 3.8.7-3
lsb-release 1.4-12
lsof 4.87-2
lvm2 2.02.106-2
lxpolkit 0.1.0-3
lz4 117-1
lzo2 2.06-3
man-db 2.6.7.1-1
man-pages 3.68-1
manjaro-alsa 2012.11-1
manjaro-artwork 1.0.8-1
manjaro-firmware 0.3-1
manjaro-hotfixes 2013.03-1
manjaro-keyring 20140411-1
manjaro-pulse 2012.11-1
manjaro-release 0.8.9-1
manjaro-settings-manager 0.1.3-5
manjaro-system 20140523-2
manjaro-welcome 0.8.10rc2-1
mcpp 2.7.2-4
mdadm 3.3-2
mdm 1.6.7-2
mdm-themes 0.1.5-1
memtest86+ 5.01-1
menulibre 1:2.0-2
mesa 10.1.4-1
mhwd 0.3.901-1
mhwd-catalyst 14.10.1006.1001-1
mhwd-db 0.3.901-1
mhwd-nvidia 331.79-1
mhwd-nvidia-legacy 304.121-1
midori 0.5.8-1
mkinitcpio 17-1
mkinitcpio-busybox 1.21.1-2
mkinitcpio-nfs-utils 0.3-4
mobile-broadband-provider-info 20120614-2
modemmanager 1.2.0-3
mousepad 0.3.0-2
mpfr 3.1.2.p8-1
mtdev 1.1.5-1
namcap 3.2.5-2
nano 2.2.6-2
nbd 3.8-1
ncurses 5.9-6
ndiswrapper-utils 1.59-1
netctl 1.7-1
netkit-bsd-finger 0.17-8
nettle 2.7.1-1
network-manager-applet 0.9.8.10-1
networkmanager 0.9.8.10-1
networkmanager-dispatcher-ntpd 1.0-6
nfs-utils 1.2.9-5
nfsidmap 0.25-2
nilfs-utils 2.2.0-1
nspr 4.10.5-1
nss 3.16.1-1
ntfs-3g 2014.2.15-1
ntp 4.2.7.p441-1
openjpeg 1.5.2-1
openresolv 3.5.6-1
openssl 1.0.1.g-1.1
orc 0.4.19-1
